0,0.54,0.1
2.601449275,1.09,0.16
5.202898551,0,0.42
7.804347826,0.01,0.43
10.4057971,0.16,0.5
13.00724638,0.47,0.77
15.60869565,0.82,1
18.21014493,1.19,1.2
20.8115942,1.64,1.45
23.41304348,2.13,1.55
26.01449275,2.68,1.62
28.61594203,3.33,1.84
31.2173913,4,1.99
33.81884058,4.66,1.93
36.42028986,5.34,2
39.02173913,6.02,2.12
41.62318841,6.8,2.24
44.22463768,7.76,2.38
46.82608696,8.89,2.5
49.42753623,10.23,2.44
52.02898551,11.83,2.44
54.63043478,13.67,2.44
57.23188406,15.69,2.45
59.83333333,17.9,2.51
62.43478261,20.27,2.55
65.03623188,22.8,2.56
67.63768116,25.49,2.61
70.23913043,28.32,2.67
72.84057971,31.23,2.71
75.44202899,34.14,2.59
78.04347826,37.01,2.54
80.64492754,39.81,2.49
83.24637681,42.48,2.54
85.84782609,44.98,2.58
88.44927536,47.35,2.61
91.05072464,49.67,2.59
93.65217391,51.93,2.61
96.25362319,54.09,2.62
98.85507246,56.13,2.54
101.4565217,58.03,2.5
104.057971,59.89,2.55
106.6594203,61.65,2.58
109.2608696,63.4,2.64
111.8623188,65.21,2.74
114.4637681,67.09,2.76
117.0652174,69.04,2.65
119.6666667,71.07,2.64
122.2681159,73.13,2.72
124.8695652,75.18,2.73
127.4710145,77.21,2.65
130.0724638,79.2,2.69
132.673913,81.18,2.79
135.2753623,83.16,2.78
137.8768116,85.08,2.71
140.4782609,86.89,2.69
143.0797101,89.4,2.33
145.6811594,88.55,2.69
148.2826087,90,2.58
150.884058,91.2,2.59
153.4855072,92.18,2.71
156.0869565,92.93,2.73
158.6884058,93.5,2.62
161.2898551,93.92,2.63
163.8913043,94.2,2.7
166.4927536,94.33,2.58
169.0942029,94.32,2.48
171.6956522,94.2,2.43
174.2971014,93.98,2.49
176.8985507,93.16,2.59
179.5,92.81,2.48
182.1014493,92.68,2.46
184.7028986,92.54,2.5
187.3043478,92.33,2.48
189.9057971,92.07,2.32
192.5072464,91.78,2.38
195.1086957,91.47,2.46
197.7101449,91.1,2.41
200.3115942,90.64,2.29
202.9130435,90.09,2.31
205.5144928,89.4,2.33
208.115942,88.52,2.22
210.7173913,87.49,2.2
213.3188406,86.35,2.34
215.9202899,85.08,2.28
218.5217391,83.75,2.14
221.1231884,82.39,2.15
223.7246377,81,2.23
226.326087,79.56,2.05
228.9275362,78.1,1.9
231.5289855,76.67,1.96
234.1304348,75.28,1.96
236.7318841,73.99,1.78
239.3333333,72.82,1.68
241.9347826,71.75,1.65
244.5362319,70.77,1.52
247.1376812,69.88,1.3
249.7391304,69,1.28
252.3405797,68.1,1.25
254.942029,67.2,1.04
257.5434783,66.28,0.82
260.1449275,65.34,0.76
262.7463768,64.39,0.69
265.3478261,63.34,0.45
267.9492754,62.1,0.26
270.5507246,60.64,0.33
273.1521739,58.95,0.36
275.7536232,57.03,0.29
278.3550725,54.91,0.27
280.9565217,52.66,0.3
283.557971,50.31,0.24
286.1594203,47.86,0.09
288.7608696,45.27,0.04
291.3623188,42.56,0.09
293.9637681,39.79,0
296.5652174,37,-0.01
299.1666667,34.3,0.12
301.7681159,31.75,0.19
304.3695652,29.33,0.08
306.9710145,27.06,0.05
309.5724638,24.93,0.05
312.173913,22.88,-0.05
314.7753623,20.92,-0.04
317.3768116,19.08,0.03
319.9782609,17.31,-0.04
322.5797101,15.68,-0.07
325.1811594,14.22,0
327.7826087,12.86,-0.05
330.384058,11.57,-0.15
332.9855072,10.32,-0.16
335.5869565,9.03,-0.21
338.1884058,7.74,-0.22
340.7898551,6.51,-0.15
343.3913043,5.33,-0.09
345.9927536,4.27,-0.1
348.5942029,3.33,-0.08
351.1956522,2.48,-0.03
353.7971014,1.73,0.09
356.3985507,0.54,0.1